outcome,AgeGroup,Stage,candidate_joinpoints,n_joinpoints,aic,bic,selected_by_bic,dispersion
Incidence,50-64,Regional,2011;2018,2,150.3856918924111,154.36862098662706,False,1.764313267816779
Incidence,50-64,Regional,2011;2019,2,148.3734027916429,152.35633188585885,False,1.6435544645314308
Incidence,50-64,Regional,2012;2016,2,152.05686312339589,156.03979221761185,False,1.859452325585122
Incidence,50-64,Regional,2012;2017,2,150.7316189997578,154.71454809397378,False,1.773896215685213
Incidence,50-64,Regional,2012;2018,2,150.28092855428326,154.26385764849923,False,1.7538130225179835
Incidence,50-64,Regional,2012;2019,2,148.1570022825431,152.13993137675905,False,1.6253828611392598
Incidence,50-64,Regional,2013;2017,2,150.7168813503007,154.69981044451666,False,1.7717020280238556
Incidence,50-64,Regional,2013;2018,2,150.12299949540213,154.1059285896181,False,1.7407578231988339
Incidence,50-64,Regional,2013;2019,2,147.9577601966539,151.94068929086987,False,1.6096146227668
Incidence,50-64,Regional,2014;2018,2,150.20558450448743,154.1885135987034,False,1.7461636777379772
Incidence,50-64,Regional,2014;2019,2,148.0753091562055,152.05823825042145,False,1.6171502694813686
Incidence,50-64,Regional,2015;2019,2,148.14214865048928,152.12507774470524,False,1.6218890739921992
Incidence,65+,Distant,None,0,142.6599439924512,144.65140853955918,False,1.0
Incidence,65+,Distant,2008,1,141.62477761958021,144.6119744402422,False,1.0
Incidence,65+,Distant,2009,1,141.50554391596168,144.49274073662366,False,1.0
Incidence,65+,Distant,2010,1,140.7682782950852,143.75547511574717,False,1.0
Incidence,65+,Distant,2011,1,140.2246234255933,143.2118202462553,True,1.0
Incidence,65+,Distant,2012,1,140.50396473435575,143.49116155501773,False,1.0
Incidence,65+,Distant,2013,1,140.8053670878983,143.79256390856028,False,1.0
Incidence,65+,Distant,2014,1,141.09047690728022,144.0776737279422,False,1.0
Incidence,65+,Distant,2015,1,142.03313465305243,145.0203314737144,False,1.0
Incidence,65+,Distant,2016,1,142.9717410112317,145.95893783189368,False,1.0
Incidence,65+,Distant,2017,1,143.36027229294112,146.3474691136031,False,1.0
Incidence,65+,Distant,2018,1,144.16114214896533,147.1483389696273,False,1.0
Incidence,65+,Distant,2019,1,144.56919571498656,147.55639253564854,False,1.0
Incidence,65+,Distant,2008;2012,2,142.4733618808332,146.45629097504917,False,1.0
Incidence,65+,Distant,2008;2013,2,142.62783884262296,146.61076793683893,False,1.0
Incidence,65+,Distant,2008;2014,2,142.7139827970502,146.69691189126615,False,1.0
Incidence,65+,Distant,2008;2015,2,143.16876707451138,147.15169616872734,False,1.0
Incidence,65+,Distant,2008;2016,2,143.49044740052804,147.473376494744,False,1.0
Incidence,65+,Distant,2008;2017,2,143.54818778265738,147.53111687687334,False,1.0
Incidence,65+,Distant,2008;2018,2,143.61153712000709,147.59446621422305,False,1.0
Incidence,65+,Distant,2008;2019,2,143.4230370893067,147.40596618352265,False,1.0
Incidence,65+,Distant,2009;2013,2,142.7273745343929,146.71030362860887,False,1.0
Incidence,65+,Distant,2009;2014,2,142.82728193019997,146.81021102441593,False,1.0
Incidence,65+,Distant,2009;2015,2,143.23729173745903,147.220220831675,False,1.0
Incidence,65+,Distant,2009;2016,2,143.46654853181158,147.44947762602754,False,1.0
Incidence,65+,Distant,2009;2017,2,143.49110489218367,147.47403398639963,False,1.0
Incidence,65+,Distant,2009;2018,2,143.4325442401299,147.41547333434585,False,1.0
Incidence,65+,Distant,2009;2019,2,143.15433181834774,147.1372609125637,False,1.0
Incidence,65+,Distant,2010;2014,2,142.5758179965042,146.55874709072017,False,1.0
Incidence,65+,Distant,2010;2015,2,142.74824485773723,146.7311739519532,False,1.0
Incidence,65+,Distant,2010;2016,2,142.74277622289992,146.72570531711588,False,1.0
Incidence,65+,Distant,2010;2017,2,142.730839525676,146.71376861989197,False,1.0
Incidence,65+,Distant,2010;2018,2,142.45489594402275,146.4378250382387,False,1.0
Incidence,65+,Distant,2010;2019,2,142.04757451381508,146.03050360803104,False,1.0
Incidence,65+,Distant,2011;2015,2,142.1474885750787,146.13041766929467,False,1.0
Incidence,65+,Distant,2011;2016,2,141.9229023487441,145.90583144296005,False,1.0
Incidence,65+,Distant,2011;2017,2,141.9491645745373,145.93209366875325,False,1.0
Incidence,65+,Distant,2011;2018,2,141.48040642961206,145.46333552382802,False,1.0
Incidence,65+,Distant,2011;2019,2,140.98476704408353,144.9676961382995,False,1.0
Incidence,65+,Distant,2012;2016,2,141.91267965881104,145.895608753027,False,1.0
Incidence,65+,Distant,2012;2017,2,142.00705195266107,145.98998104687703,False,1.0
Incidence,65+,Distant,2012;2018,2,141.4225173069525,145.40544640116846,False,1.0
Incidence,65+,Distant,2012;2019,2,140.88770632505916,144.87063541927512,False,1.0
Incidence,65+,Distant,2013;2017,2,141.96864518178674,145.9515742760027,False,1.0
Incidence,65+,Distant,2013;2018,2,141.25915394766886,145.24208304188483,False,1.0
Incidence,65+,Distant,2013;2019,2,140.7090599089951,144.69198900321106,False,1.0
Incidence,65+,Distant,2014;2018,2,140.80930861922172,144.7922377134377,False,1.0
Incidence,65+,Distant,2014;2019,2,140.30897483565406,144.29190392987002,False,1.0
Incidence,65+,Distant,2015;2019,2,141.14542901068322,145.12835810489918,False,1.0
Incidence,65+,Localized,None,0,152.87713681281818,154.86860135992617,False,1.821594045236509
Incidence,65+,Localized,2008,1,151.4462872224735,154.43348404313548,False,1.7328120687743607
Incidence,65+,Localized,2009,1,153.22531860683983,156.2125154275018,False,1.8436259442228182
Incidence,65+,Localized,2010,1,154.29009625014513,157.2772930708071,False,1.9048509097865831
Incidence,65+,Localized,2011,1,154.7192263582968,157.70642317895877,False,1.9258398914556318
Incidence,65+,Localized,2012,1,154.85878846337476,157.84598528403674,False,1.9298646460089557
Incidence,65+,Localized,2013,1,154.85035395470706,157.83755077536904,False,1.9247759542038134
Incidence,65+,Localized,2014,1,154.37223830935548,157.35943513001746,False,1.8882693968302404
Incidence,65+,Localized,2015,1,153.51888326523985,156.50608008590183,False,1.8312697370548736
Incidence,65+,Localized,2016,1,152.87604303257712,155.8632398532391,False,1.7890838783684564
Incidence,65+,Localized,2017,1,152.16475049041435,155.15194731107633,False,1.7463633194835793
Incidence,65+,Localized,2018,1,150.33639411613473,153.3235909367967,False,1.636056578365655
Incidence,65+,Localized,2019,1,148.70759653854907,151.69479335921105,False,1.5408960918554966
Incidence,65+,Localized,2008;2012,2,148.31147561292693,152.2944047071429,False,1.5099485518138087
Incidence,65+,Localized,2008;2013,2,148.1131149920125,152.09604408622846,False,1.502989607529523
Incidence,65+,Localized,2008;2014,2,145.98259157641547,149.96552067063143,False,1.3585782407307858
Incidence,65+,Localized,2008;2015,2,144.3509659309022,148.33389502511815,False,1.2504171142355496
Incidence,65+,Localized,2008;2016,2,144.1704190963341,148.15334819055005,False,1.2375508834101985
Incidence,65+,Localized,2008;2017,2,143.9912100469602,147.97413914117615,False,1.2316225480952272
Incidence,65+,Localized,2008;2018,2,141.85205430142727,145.83498339564323,False,1.0922878032257808
Incidence,65+,Localized,2008;2019,2,140.62412161262475,144.6070507068407,True,1.0145853088924697
Incidence,65+,Localized,2009;2013,2,150.49448023351025,154.4774093277262,False,1.6557409178113807
Incidence,65+,Localized,2009;2014,2,148.1657055461208,152.14863464033675,False,1.4963133720995496
Incidence,65+,Localized,2009;2015,2,146.46890090006076,150.45182999427672,False,1.3836634544542254
Incidence,65+,Localized,2009;2016,2,146.35309731625628,150.33602641047224,False,1.3764838885028576
Incidence,65+,Localized,2009;2017,2,146.21522111170037,150.19815020591633,False,1.3745169428115853
Incidence,65+,Localized,2009;2018,2,144.0540082785029,148.03693737271885,False,1.2335273743858337
Incidence,65+,Localized,2009;2019,2,142.8411449573089,146.82407405152486,False,1.1574814397652713
Incidence,65+,Localized,2010;2014,2,150.05226831858,154.03519741279595,False,1.61412058515004
Incidence,65+,Localized,2010;2015,2,148.2353214843958,152.21825057861176,False,1.4939439800845444
Incidence,65+,Localized,2010;2016,2,148.15429344695426,152.13722254117022,False,1.4903966371983135
Incidence,65+,Localized,2010;2017,2,148.02569047132945,152.00861956554542,False,1.4898132214845565
Incidence,65+,Localized,2010;2018,2,145.82412618258968,149.80705527680564,False,1.3461321053125463
Incidence,65+,Localized,2010;2019,2,144.60325633005658,148.58618542427254,False,1.2699575119626036
Incidence,65+,Localized,2011;2015,2,148.72056041922593,152.7034895134419,False,1.5246003625637874
Incidence,65+,Localized,2011;2016,2,148.8268178579583,152.80974695217427,False,1.5344490631448957
Incidence,65+,Localized,2011;2017,2,148.8060078607719,152.78893695498786,False,1.5411523183053382
Incidence,65+,Localized,2011;2018,2,146.57678464500398,150.55971373921994,False,1.3949402347937623
Incidence,65+,Localized,2011;2019,2,145.40004586524765,149.3829749594636,False,1.321296335179834
Incidence,65+,Localized,2012;2016,2,148.51108946388175,152.4940185580977,False,1.5184948428803202
Incidence,65+,Localized,2012;2017,2,148.8033226837424,152.78625177795837,False,1.5447684327039977
Incidence,65+,Localized,2012;2018,2,146.58057626994423,150.5635053641602,False,1.3968859147693
Incidence,65+,Localized,2012;2019,2,145.5318971234498,149.51482621766576,False,1.3304132589866235
Incidence,65+,Localized,2013;2017,2,148.92516217839517,152.90809127261113,False,1.5521122147581796
Incidence,65+,Localized,2013;2018,2,146.70327819745904,150.686207291675,False,1.4014754253775636
Incidence,65+,Localized,2013;2019,2,145.79267217276055,149.7756012669765,False,1.3431076404189342
Incidence,65+,Localized,2014;2018,2,148.57250245717458,152.55543155139054,False,1.5111399490194877
Incidence,65+,Localized,2014;2019,2,147.44881119299248,151.43174028720844,False,1.4410866500808686
Incidence,65+,Localized,2015;2019,2,148.46645625072142,152.44938534493738,False,1.5005589408916866
Incidence,65+,Overall,None,0,205.02581450222272,207.0172790493307,False,3.249467600182473
Incidence,65+,Overall,2008,1,206.18588037357688,209.17307719423886,False,3.4001729687247217
Incidence,65+,Overall,2009,1,206.7399591025944,209.7271559232564,False,3.430538763176199
Incidence,65+,Overall,2010,1,207.01231266289597,209.99950948355794,False,3.4415617737197812
Incidence,65+,Overall,2011,1,207.0067008192408,209.99389763990277,False,3.4372168012523368
Incidence,65+,Overall,2012,1,206.79897458188134,209.78617140254332,False,3.419045281386472
Incidence,65+,Overall,2013,1,206.25059174901924,209.23778856968121,False,3.3797160905018497
Incidence,65+,Overall,2014,1,204.71357724658412,207.7007740672461,False,3.2762751287007426
Incidence,65+,Overall,2015,1,202.71796583335902,205.705162654021,False,3.147851563028664
Incidence,65+,Overall,2016,1,200.76283103349613,203.7500278541581,False,3.02700454711586
Incidence,65+,Overall,2017,1,198.65920653069315,201.64640335135513,False,2.9055704732149406
Incidence,65+,Overall,2018,1,192.9345364635226,195.92173328418457,False,2.565053966891737
Incidence,65+,Overall,2019,1,186.14933130913607,189.13652812979805,False,2.171756626330746
Incidence,65+,Overall,2008;2012,2,203.94663341643582,207.92956251065178,False,3.323955075478613
Incidence,65+,Overall,2008;2013,2,202.60361135053597,206.58654044475193,False,3.2368071914363528
Incidence,65+,Overall,2008;2014,2,199.2942733239047,203.27720241812065,False,3.015126180606661
Incidence,65+,Overall,2008;2015,2,196.33048383043945,200.3134129246554,False,2.821130676959374
Incidence,65+,Overall,2008;2016,2,194.2836851155962,198.26661420981216,False,2.6940831387403645
Incidence,65+,Overall,2008;2017,2,192.42091777005407,196.40384686427004,False,2.590608081899945
Incidence,65+,Overall,2008;2018,2,185.6111413740133,189.59407046822926,False,2.160442467416803
Incidence,65+,Overall,2008;2019,2,178.48648139678403,182.469410491,False,1.7197704893502581
Incidence,65+,Overall,2009;2013,2,203.16478793906902,207.14771703328498,False,3.2718942530107795
Incidence,65+,Overall,2009;2014,2,199.53963636142498,203.52256545564094,False,3.0285150836752415
Incidence,65+,Overall,2009;2015,2,196.47364641906688,200.45657551328284,False,2.8281761166505595
Incidence,65+,Overall,2009;2016,2,194.50591208356843,198.4888411777844,False,2.707578231369936
Incidence,65+,Overall,2009;2017,2,192.75655708659156,196.73948618080752,False,2.6130467572509737
Incidence,65+,Overall,2009;2018,2,185.81743270459071,189.80036179880668,False,2.173712037077884
Incidence,65+,Overall,2009;2019,2,178.68992556568435,182.6728546599003,False,1.7322405095107651
Incidence,65+,Overall,2010;2014,2,200.07571775130748,204.05864684552344,False,3.058387199869006
