outcome,AgeGroup,Stage,candidate_joinpoints,n_joinpoints,aic,bic,selected_by_bic,dispersion
Incidence,20-49,Overall,2012;2018,2,142.25596496516158,146.03372088182735,False,1.0
Incidence,20-49,Overall,2012;2019,2,141.3643015699551,145.14205748662087,True,1.0
Incidence,20-49,Overall,2013;2017,2,144.5835550445932,148.36131096125897,False,1.0
Incidence,20-49,Overall,2013;2018,2,142.71308874846068,146.49084466512645,False,1.0
Incidence,20-49,Overall,2013;2019,2,141.84746171385336,145.62521763051913,False,1.0
Incidence,20-49,Overall,2014;2018,2,143.42529083209342,147.2030467487592,False,1.0
Incidence,20-49,Overall,2014;2019,2,142.53113207631708,146.30888799298285,False,1.0
Incidence,20-49,Overall,2015;2019,2,142.71615912653385,146.49391504319962,False,1.0
Incidence,20-49,Regional,None,0,130.1110702363398,131.99994819467267,False,1.8033306882130975
Incidence,20-49,Regional,2008,1,126.42260331863132,129.25592025613065,False,1.4897181019111465
Incidence,20-49,Regional,2009,1,125.4162021616381,128.24951909913742,False,1.4194690609207827
Incidence,20-49,Regional,2010,1,125.53744058767154,128.37075752517086,False,1.4288255197197417
Incidence,20-49,Regional,2011,1,125.25328588917918,128.0866028266785,False,1.4112242910014783
Incidence,20-49,Regional,2012,1,124.80490656826598,127.6382235057653,False,1.3859356696394811
Incidence,20-49,Regional,2013,1,123.83457399326781,126.66789093076713,False,1.3255333928659265
Incidence,20-49,Regional,2014,1,122.99860824520971,125.83192518270903,False,1.279789349972586
Incidence,20-49,Regional,2015,1,122.27710535716284,125.11042229466216,False,1.248119967088185
Incidence,20-49,Regional,2016,1,122.47559172610087,125.30890866360019,False,1.281974065269676
Incidence,20-49,Regional,2017,1,120.65317189903206,123.48648883653138,False,1.1623155647678851
Incidence,20-49,Regional,2018,1,119.27695122026967,122.11026815776899,True,1.0724714213006565
Incidence,20-49,Regional,2019,1,119.3006974921158,122.13401442961512,False,1.0724785704728803
Incidence,20-49,Regional,2008;2012,2,126.71808718875161,130.49584310541738,False,1.469726223718649
Incidence,20-49,Regional,2008;2013,2,125.74882072907381,129.52657664573957,False,1.40519042725737
Incidence,20-49,Regional,2008;2014,2,124.87383483213878,128.65159074880455,False,1.3520734380318062
Incidence,20-49,Regional,2008;2015,2,124.07742756877276,127.85518348543852,False,1.3100307845019745
Incidence,20-49,Regional,2008;2016,2,124.04364963466233,127.8214055513281,False,1.3222071989542197
Incidence,20-49,Regional,2008;2017,2,122.24704070715069,126.02479662381646,False,1.2003764260294594
Incidence,20-49,Regional,2008;2018,2,120.79502754498282,124.57278346164858,False,1.1008552868689085
Incidence,20-49,Regional,2008;2019,2,120.56895927941574,124.3467151960815,False,1.081595703100295
Incidence,20-49,Regional,2009;2013,2,125.73382116001537,129.51157707668114,False,1.4041892760325716
Incidence,20-49,Regional,2009;2014,2,124.87170872229353,128.6494646389593,False,1.3519518023914487
Incidence,20-49,Regional,2009;2015,2,124.07806874862351,127.85582466528928,False,1.3097897650063848
Incidence,20-49,Regional,2009;2016,2,124.01126341268831,127.78901932935406,False,1.318254363150857
Incidence,20-49,Regional,2009;2017,2,122.24235554852339,126.02011146518916,False,1.1996025746271253
Incidence,20-49,Regional,2009;2018,2,120.7917567927263,124.56951270939206,False,1.1006257680911673
Incidence,20-49,Regional,2009;2019,2,120.53103904076966,124.30879495743542,False,1.0788073270787726
Incidence,20-49,Regional,2010;2014,2,124.99859391689819,128.77634983356396,False,1.365169572119118
Incidence,20-49,Regional,2010;2015,2,124.26286475267557,128.04062066934134,False,1.3276833421946204
Incidence,20-49,Regional,2010;2016,2,124.30757961111323,128.085335527779,False,1.343302223170266
Incidence,20-49,Regional,2010;2017,2,122.52122003487949,126.29897595154526,False,1.2225325021282574
Incidence,20-49,Regional,2010;2018,2,121.09146352253883,124.86921943920458,False,1.12375600252438
Incidence,20-49,Regional,2010;2019,2,120.88838226412105,124.66613818078682,False,1.1050235164637094
Incidence,20-49,Regional,2011;2015,2,124.26184875834437,128.03960467501014,False,1.3335125044377294
Incidence,20-49,Regional,2011;2016,2,124.4219714440851,128.19972736075087,False,1.3556119604973524
Incidence,20-49,Regional,2011;2017,2,122.62422849430715,126.40198441097291,False,1.2335575139838113
Incidence,20-49,Regional,2011;2018,2,121.21585634877016,124.99361226543593,False,1.1351529379664724
Incidence,20-49,Regional,2011;2019,2,121.05988966802786,124.83764558469363,False,1.1188271321239642
Incidence,20-49,Regional,2012;2016,2,124.4681478580772,128.24590377474297,False,1.36359378042355
Incidence,20-49,Regional,2012;2017,2,122.65317184889302,126.43092776555878,False,1.239809053575383
Incidence,20-49,Regional,2012;2018,2,121.26949560064148,125.04725151730725,False,1.1418789171598456
Incidence,20-49,Regional,2012;2019,2,121.16637805657248,124.94413397323825,False,1.1285783303125358
Incidence,20-49,Regional,2013;2017,2,122.65230619594098,126.43006211260675,False,1.240487098159204
Incidence,20-49,Regional,2013;2018,2,121.27466531096579,125.05242122763156,False,1.1430289299321903
Incidence,20-49,Regional,2013;2019,2,121.17110196912691,124.94885788579268,False,1.1297116229247626
Incidence,20-49,Regional,2014;2018,2,121.27464231789381,125.05239823455958,False,1.144390420322355
Incidence,20-49,Regional,2014;2019,2,121.20598613810196,124.98374205476773,False,1.134097358926978
Incidence,20-49,Regional,2015;2019,2,121.25713534221319,125.03489125887896,False,1.1402347248824374
Incidence,50-64,Distant,None,0,163.7008260712537,165.58970402958656,True,2.2648628936678503
Incidence,50-64,Distant,2008,1,163.71284896680976,166.54616590430908,False,2.2726547680983735
Incidence,50-64,Distant,2009,1,164.1043062508748,166.93762318837412,False,2.29567711908963
Incidence,50-64,Distant,2010,1,163.32111683628835,166.15443377378767,False,2.249656383616528
Incidence,50-64,Distant,2011,1,163.88900756240577,166.72232449990508,False,2.2935904766604205
Incidence,50-64,Distant,2012,1,163.88624750110415,166.71956443860347,False,2.2997415627603153
Incidence,50-64,Distant,2013,1,164.09393364601215,166.92725058351147,False,2.3154452501894736
Incidence,50-64,Distant,2014,1,164.1774615484926,167.01077848599192,False,2.321573946938751
Incidence,50-64,Distant,2015,1,164.30123516092942,167.13455209842874,False,2.327873250605072
Incidence,50-64,Distant,2016,1,165.15505366627303,167.98837060377235,False,2.378295821990534
Incidence,50-64,Distant,2017,1,165.55058925468387,168.3839061921832,False,2.4001600452866327
Incidence,50-64,Distant,2018,1,165.6375906626762,168.4709076001755,False,2.40450821953485
Incidence,50-64,Distant,2019,1,165.67849345691326,168.51181039441258,False,2.4056936649595757
Incidence,50-64,Distant,2008;2012,2,165.57739599446666,169.35515191113242,False,2.421715532089949
Incidence,50-64,Distant,2008;2013,2,165.5988685857771,169.37662450244287,False,2.422995869483731
Incidence,50-64,Distant,2008;2014,2,165.56943178416617,169.34718770083194,False,2.4214470760311273
Incidence,50-64,Distant,2008;2015,2,165.55817839214257,169.33593430880833,False,2.41977710782781
Incidence,50-64,Distant,2008;2016,2,165.70798826461396,169.48574418127973,False,2.4227782356748286
Incidence,50-64,Distant,2008;2017,2,165.56240337443455,169.34015929110032,False,2.4084616153949368
Incidence,50-64,Distant,2008;2018,2,165.512044563423,169.28980048008876,False,2.4047397097001793
Incidence,50-64,Distant,2008;2019,2,165.48206659296216,169.25982250962792,False,2.404998524271123
Incidence,50-64,Distant,2009;2013,2,165.93984988697667,169.71760580364244,False,2.4488425757166556
Incidence,50-64,Distant,2009;2014,2,165.92560528185686,169.70336119852263,False,2.4472072054769
Incidence,50-64,Distant,2009;2015,2,165.9281266520162,169.70588256868197,False,2.4454416799184995
Incidence,50-64,Distant,2009;2016,2,166.0963056088579,169.87406152552367,False,2.446426625089304
Incidence,50-64,Distant,2009;2017,2,165.9232983213999,169.70105423806567,False,2.4287891408186044
Incidence,50-64,Distant,2009;2018,2,165.87069116995406,169.64844708661983,False,2.425086457632832
Incidence,50-64,Distant,2009;2019,2,165.8422442425026,169.62000015916837,False,2.4259281902379217
Incidence,50-64,Distant,2010;2014,2,165.31415411243466,169.09191002910043,False,2.3973190753631854
Incidence,50-64,Distant,2010;2015,2,165.3210697518271,169.09882566849288,False,2.399512335320801
Incidence,50-64,Distant,2010;2016,2,165.0701136902552,168.84786960692097,False,2.374369241291612
Incidence,50-64,Distant,2010;2017,2,164.68229673968813,168.4600526563539,False,2.344238659323878
Incidence,50-64,Distant,2010;2018,2,164.67238094173814,168.4501368584039,False,2.344988264534946
Incidence,50-64,Distant,2010;2019,2,164.69370665182487,168.47146256849064,False,2.3518484849616446
Incidence,50-64,Distant,2011;2015,2,165.87811136705483,169.6558672837206,False,2.4472084719923264
Incidence,50-64,Distant,2011;2016,2,165.65687488045074,169.4346307971165,False,2.4240347969752185
Incidence,50-64,Distant,2011;2017,2,165.23064871784192,169.00840463450768,False,2.3912822238014537
Incidence,50-64,Distant,2011;2018,2,165.22558299371002,169.0033389103758,False,2.392388162094416
Incidence,50-64,Distant,2011;2019,2,165.25317311887483,169.0309290355406,False,2.3998426421956074
